System,CPU-Precision,Clock-MHz,MWIPS,MFLOPS,MIPS-VAX,MWIPS-DP,Lang,Opt,Cost-$K,Year-intro
HP 9000/850S,PA1.1,13.7,8.10,NA,NA,6.10,For,xxx,220,1987
HP 9000/855S,PA1.1,27.5,11.6,NA,NA,8.50,For,xxx,241,1988
HP 9000/870/100,PA1.1,50.0,32.8,NA,NA,25.8,For,xxx,NA,1990
HP 9000/735,PA7100,99,82.0,NA,NA,88.3,For,xxx,NA,1992
HP Pentium,P14,166,112,51.6,320,NA,C++,Opt,NA,1996
HP Pentium II,P14,233,169,62.7,746,NA,C++,Opt,NA,1997
IBM 360/30,P1,NA,0.0155,NA,NA,0.0077,For,NA,170,1965
IBM 360/50,P1,NA,0.045,NA,NA,NA,PL1,NA,840,1965
IBM 360/50,P1,NA,0.145,NA,NA,0.094,For,Op2,840,1965
IBM 360/65,P1,NA,0.072,NA,NA,0.065,Alg,NA,2100,1965
IBM 360/65,P1,NA,0.430,NA,NA,0.321,For,NA,2100,1965
IBM 360/65,P1,NA,0.443,NA,NA,0.336,PL1,Opt,2100,1965
IBM 360/65,P1,NA,0.521,NA,NA,0.421,For,Op2,2100,1965
IBM 360/67,P1,NA,0.320,NA,NA,0.278,For,NA,NA,1966
IBM 360/67,P1,NA,0.603,NA,NA,0.456,For,NA,NA,1966
IBM 360/195,P1,NA,3.03,NA,NA,3.03,For,No,NA,1971
IBM 360/195,P1,NA,4.82,NA,NA,4.77,For,Op2,NA,1971
IBM 360/195,P1,NA,5.00,NA,NA,4.76,For,later,NA,1971
IBM 370/138,P1,NA,0.146,NA,NA,0.092,For,NA,NA
IBM 370/145,P1,NA,0.171,NA,NA,0.103,For,NA,700,1971
IBM 370/148,P1,NA,0.257,NA,NA,0.157,For,Op2,NA
IBM 370/155,P1,NA,0.465,NA,NA,NA,For,Op2,1200,1971
IBM 370/158-1,P1,NA,0.611,NA,NA,NA,For,NA,800,1973
IBM 370/158-1,P1,NA,0.767,NA,NA,0.559,For,Op2,800,1973
IBM 370/158-3,P1,NA,0.826,NA,NA,0.582,For,Op2,1000,1976
IBM 370/165,P1,NA,1.85,NA,NA,NA,For,NA,3000,1971
IBM 370/165,P1,NA,2.04,NA,NA,NA,For,Op2,3000,1971
IBM 370/165,P1,NA,2.21,NA,NA,NA,For,Op3,3000,1971
IBM 370/168,P1,NA,2.05,NA,NA,1.90,For,NA,3000,1973
IBM 370/168,P1,NA,2.44,NA,NA,2.08,For,Op2,3000,1973
IBM 370/168-3 HSM,P1,NA,3.04,NA,NA,NA,For,Op2,NA,1976
IBM 3031,P1,NA,0.946,NA,NA,0.644,For,Op2,700,1978
IBM 3032,P1,NA,2.43,NA,NA,2.06,For,Op2,1300,1978
IBM 3033 A,P1,NA,5.68,NA,NA,4.70,For,Op2,2400,1978
IBM 3033 N,P1,NA,5.08,NA,NA,4.62,For,Op2,1300,1980
IBM 3033 U,P1,NA,5.64,NA,NA,4.55,For,Op2,NA,NA
IBM 4331-1,P1,1.1,0.110,NA,NA,NA,Bas,NA,NA,NA
IBM 4331-1,P1,1.1,0.160,NA,NA,0.060,For,Op2,NA,NA
IBM 4331-2,P1,1.1,0.410,NA,NA,0.165,For,Op2,112,1981
IBM 4341-1,P1,6.7,0.990,NA,NA,0.770,For,Op2,205,1981
IBM 4341-2,P1,8.3,1.28,NA,NA,0.990,For,Op2,350,1981
IBM 4361-5,P1,10,1.52,NA,NA,0.929,For,Op2,200,1984
IBM 4381-2,P1,14.7,2.92,NA,NA,NA,For,Opt,500,1984
IBM 3081 D 1 cpu,P1,NA,6.58,NA,NA,5.92,For,Op2,2800,1981
IBM 3081 G 1 cpu,P1,38.5,6.09,NA,NA,5.35,For,Op2,2500,1982
IBM 3081 K 1 cpu,P1,38.5,8.20,NA,NA,7.08,For,Op2,3200,1982
IBM 3083 E,P1,38.5,4.54,NA,NA,4.10,For,Op2,1200,1983
IBM 3084 Q 1 cpu,P1,38.5,8.14,NA,NA,6.97,For,Op2,8700,1983
IBM 3084 Q 1 cpu,P1,38.5,7.62,NA,NA,6.66,For,Op2,NA,1983
IBM 3084 Q 1 cpu,P1,38.5,8.18,NA,NA,6.96,For,Op3,NA,1983
IBM 3083 BX,P1,41.7,7.38,2.13,8.71,6.33,For,Op3,1500,1984
IBM 3090-150 VP,P1 Scalar,54,12.1,4.87,11.8,11.3,For,Op3,NA,1986
IBM 3090-150 VP,Vector,54,59.8,17.3,86.1,NA,For,Op3,NA,1986
IBM 3090-150 VP,90% Vector,54,42.9,13.8,52.8,NA,For,Op3,NA,1986
IBM 3090-150 E,P1,56,12.3,4.99,12.2,11.1,For,Op2,1700,1987
IBM 3090-150 E,P1,56,11.1,4.44,9.47,10.1,For,Op1,1700,1987
IBM 3090-180,P1,54,19.2,NA,NA,17.0,For,Op3,2600,1986
IBM PC RT 6150,NA,5.9,0.30,NA,NA,NA,For,NA,11,1986
IBM PC RT B25 FP,NA,10,1.60,NA,NA,NA,For,NA,17,1988
IBM RS/6000 530,POWER,25,18.8,NA,NA,NA,For,NA,41,1990
IBM RS/6000 350,POWER,41.6,40.7,NA,NA,44.7,For,NA,27,1992
IBM RS/6000 580,POWER,62.5,57.3,NA,NA,64.7,For,NA,NA,1992
ICL EE KDF9,P15,NA,0.0024,NA,NA,NA,AlgI,NA,NA,1963
ICL EE KDF9,P15,NA,0.062,NA,NA,NA,Alg,Opt,NA,1963
ICL EE KDF9,P15,NA,0.080,NA,NA,0.0077,For,NA,NA,1963
ICL 4120,NA,NA,0.0104,NA,NA,NA,For,NA,38,1965
ICL 4130,NA,NA,0.0532,NA,NA,NA,Alg,NA,NA,1966
ICL 4130,NA,NA,0.0752,NA,NA,NA,For,NA,NA,1966
ICL 1903T,P16,NA,0.133,NA,NA,0.0165,For,Tr0,288,1973
ICL 1904A,P16,NA,0.091,NA,NA,0.019,For,Tr1,342,1969
ICL 1904A,P16,NA,0.125,NA,NA,NA,Alg,Tr0,342,1969
ICL 1904A,P16,NA,0.195,NA,NA,0.0210,For,Tr0,342,1969
ICL 1904S,P16,NA,0.222,NA,NA,0.0280,For,Tr0,558,1973
ICL 1906A,P16,NA,0.282,NA,NA,0.187,For,Tr0,990,1970
ICL 1906A,P16,NA,0.379,NA,NA,NA,Alg,Tr0,990,1970
ICL 1906A,P16,NA,0.585,NA,NA,NA,For,Tr0,990,1970
ICL 1906A,P16,NA,0.661,NA,NA,NA,Pas,NA,990,1970
ICL 1906S,P16,NA,0.800,NA,NA,0.122,For,Tr0,NA,1973
ICL 1906S HEP,P16,NA,0.800,NA,NA,0.404,For,Tr0,NA,1973
ICL 1905F,P16,NA,0.0960,NA,NA,0.012,For,Tr0,288,1968
ICL 2903 SCF,P16,NA,0.0238,NA,NA,0.0036,For,NA,NA,1973
ICL System 4/50,P1,NA,0.0551,NA,NA,0.027,For,NA,216,1967
ICL System 4/70,P1,NA,0.280,NA,NA,0.209,For,NA,391,1968
ICL System 4/72,P1,NA,0.300,NA,NA,0.225,For,NA,NA,1971
ICL System 4/75,P1,NA,0.068,NA,NA,0.068,For,NA,NA,1968
ICL System 4/75,P1,NA,0.235,NA,NA,0.211,Alg,NA,NA,1968
ICL System 4/75,P1,NA,0.267,NA,NA,0.200,For,NA,NA,1968
ICL 2950,P16,NA,0.058,NA,NA,0.011,For,NA,540,1978
ICL 2960,P16,NA,0.208,NA,NA,0.032,For,Tr0,1350,1975
ICL 2960,P1,NA,0.398,NA,NA,0.221,For,NA,NA,1975
ICL 2970,P1,NA,0.608,NA,NA,0.500,For,NA,NA,1975
ICL 2970,P1,NA,0.637,NA,NA,0.539,For,NA,NA,1975
ICL 2970,P1,NA,0.49,NA,NA,0.490,Alg,DP,NA,1975
ICL 2972,P1,NA,2.11,NA,NA,1.61,For,NA,NA,NA
ICL 2976,P1,NA,2.26,NA,NA,1.82,For,NA,NA,1976
ICL 2980,P1,NA,2.45,NA,NA,1.91,For,NA,NA,1976
ICL 2980 FMDU,P1,NA,3.50,NA,NA,2.63,For,NA,NA,1976
ICL 2980 FMDU,P1,NA,1.74,NA,NA,1.74,Alg,DP,NA,1976
ICL 2982 FMDU,P1,NA,3.57,NA,NA,2.87,For,NA,NA,NA
ICL 2956/20,P16,NA,0.217,NA,NA,0.033,For,Tr0,NA,NA
ICL 2966,P1,12.5,0.917,NA,NA,0.476,For,NA,NA,NA
ICL 2966 PEF,P1,12.5,1.37,NA,NA,0.773,For,NA,NA,NA
ICL 2966,P16,12.5,0.314,NA,NA,0.0673,For,NA,639,NA
ICL 2977,P1,NA,3.36,NA,NA,2.78,For,NA,NA,NA
ICL 39/80,P1,40,9.33,2.26,9.16,5.81,For,Op3,1600,1985
ICL 39/80,P1,40,14.5,3.23,12.6,8.00,For,Op4,1600,1985
Modcomp II,NA,NA,0.237,NA,NA,0.178,For,NA,13,1972
Modcomp IV,NA,NA,0.550,NA,NA,0.247,For,NA,18,1973
Modcomp Classic,P13,NA,0.941,NA,NA,0.750,For,NA,NA,NA
NCR 8570,P1,NA,0.093,NA,NA,0.061,For,NA,NA,NA
NCR 8580,P1,NA,0.110,NA,NA,0.068,For,NA,NA,NA
Norsk-Data 10/S,NA,NA,0.153,NA,NA,0.0019,For,NA,NA,1974
Norsk-Data 50,P7,NA,0.531,NA,NA,0.451,For,NA,NA,1975
NEC SX-3/11-12,P1 Scalar,345,42.9,17.0,52.5,40.3,For,Opt,NA,1991
NEC SX-3/11,Vector,345,1106,441,908,NA,For,Opt,7300,1991
NEC SX-3/11,90% Vector,345,318,126,345,NA,For,Opt,7300,1991
NEC SX-3/12,Vector,345,1667,753,1232,NA,For,Opt,NA,1991
NEC SX-3/12,90% Vector,345,348,141,379,NA,For,Opt,NA,1991
Prime 300 fpp,P17,NA,0.120,NA,NA,0.074,For,NA,23,1973
Prime 350,P17,NA,0.213,NA,NA,NA,For,V,NA,NA
Prime 400,P17,NA,0.427,NA,NA,NA,For,R,71,1976
Prime 500,P17,NA,0.537,NA,NA,0.412,For,R,NA,1977
Prime 550,P17,NA,0.435,NA,NA,0.248,For,R,NA,1979
Prime 650,P17,NA,0.523,NA,NA,0.423,For,V,NA,1979
Prime 650,P17,NA,0.541,NA,NA,0.426,For,R,NA,1979
Prime 750,P17,NA,0.499,NA,NA,NA,Alg,V,NA,1979
Prime 750,P17,NA,0.750,NA,NA,0.550,PL1,Opt,NA,1979
Prime 750,P17,NA,0.800,NA,NA,NA,Pas,NA,NA,1979
Prime 750,P17,NA,1.00,NA,NA,0.767,For,R,NA,1979
Prime 750,P17,NA,NA,NA,NA,0.150,Bas,V,NA,1979
Prime 850,P17,NA,1.98,NA,NA,NA,For,NA,NA,1981
Prime 250 Mk 1,P17,NA,0.509,NA,NA,0.265,For,NA,NA,1980
Prime 2250,P17,6.25,0.0220,NA,NA,NA,BasI,NA,40,1982
Prime 2250,P17,6.25,0.137,NA,NA,NA,Bas,NA,40,1982
Prime 2250,P17,6.25,0.479,NA,NA,0.245,For,NA,40,1982
Prime 9650,P17,6.25,0.735,NA,NA,NA,For,NA,145,1984
Prime 9750,P17,10,1.61,NA,NA,1.21,For,NA,250,1984
Prime 9950,P17,12.5,2.20,NA,NA,1.73,For,NA,392,1984
Prime 9955,P17,12.5,2.59,NA,NA,2.13,For,NA,360,1985
Prime 9955,P17,12.5,2.46,NA,NA,NA,For,No,NA,1986
Prime 9955,P17,12.5,3.75,NA,NA,NA,For,Op4,NA,1986
Prime 9955,P17,12.5,3.93,NA,NA,3.45,For,OP6,NA,1986
Prime 9955 II,P17,15.6,3.10,0.82,3.36,2.48,For,Opt,356,1986
Prime 6350,P17,22.7,5.32,1.78,4.94,4.57,For,No,549,1987
Prime 6350,P17,22.7,10.2,2.56,9.79,8.03,For,Opt,NA,1987
Pyramid 9820 1 cpu,NA,10,3.26,0.77,4.59,1.88,For,Opt,300,1987
Xerox Sigma 5,P1,NA,0.298,NA,NA,0.225,For,NA,NA,1967
Xerox Sigma 6,P1,NA,0.038,NA,NA,0.036,Alg,NA,NA,1970
Xerox Sigma 6,P1,NA,0.331,NA,NA,0.260,For,NA,NA,1970
Xerox Sigma 7,P1,NA,0.340,NA,NA,0.282,For,NA,NA,1966
Xerox Sigma 9,P1,NA,0.483,NA,NA,NA,For,NA,NA,1971
Xerox 530 hwfp,P1,NA,0.043,NA,NA,NA,For,NA,NA,1973
Xerox 560,P1,NA,0.313,NA,NA,0.232,For,NA,NA,1974
Xerox SDS 9300,NA,NA,0.138,NA,NA,0.018,For,NA,NA,1963
SGI Indigo,R4000,100,71.0,NA,NA,59.0,For,xxx,NA,1992
SGI Indigo2,R4400,150,106,NA,NA,90.0,For,xxx,NA,1993
SGI ONYX,R8000,75,57.8,12.4,98.2,NA,C,Opt,NA,1993
SGI Challenge S,R4400,200,77.2,24.9,134,NA,C,Opt,NA,1993
SGI Indy,R5000,150,83.2,24.9,159,NA,C,Opt,NA,1993
SGI 02,R10000,175,122,44.4,189,NA,C,Opt,NA,1997
SGI 02,R10000,175,201,42.8,260,NA,C,Opt,NA,1997
Sinclair ZX81,Z80A,NA,0.00052,NA,NA,NA,Bas,NA,0.12,1981
Sinclair Spectrum,Z80A,3.54,0.00052,NA,NA,NA,Bas,NA,0.23,1982
Siemens VP200-EX,NA,143,46.0,NA,NA,46.0,For,xxx,NA,NA
Sun 3/160,68020,16.7,2.40,NA,NA,1.90,For,NA,20,1985
Sun 3/260,68020,25,3.60,NA,NA,2.70,For,NA,29,1986
Sun 4/110,SPARC,14.3,4.20,NA,NA,2.90,For,NA,19,1988
Sun 4/260,SPARC,16.7,5.56,1.06,5.11,3.81,For,NA,40,1987
Sun 4/260,SPARC,16.7,8.50,NA,NA,6.80,For,xxx,40,1987
Sun SunStation 1,SPARC,20,8.00,NA,NA,5.60,For,xxx,9,1990
Sun SunStation 300,SPARC,25,12.3,NA,NA,9.90,For,xxx,29,1990
Sun SunServer 490,SPARC,33,17.4,NA,NA,14.0,For,xxx,100,1990
Sun SunStation 20,RT HSPARC,100,49.7,19.8,81.1,45.8,C,Opt,NA,1994
Unisys 1106 U,P18,NA,0.535,NA,NA,0.313,For,NA,243,1970
Unisys 1108,P18,NA,0.870,NA,NA,0.475,For,NA,NA,1964
Unisys 1110,P18,NA,0.464,NA,NA,NA,Alg,NA,NA,1972
Unisys 1110,P18,NA,0.482,NA,NA,NA,PL1,NA,NA,1972
Unisys 1110,P18,NA,1.61,NA,NA,1.12,For,NA,NA,1972
Unisys 1100/20,P18,NA,0.811,NA,NA,0.470,For,NA,677,1975
Unisys 1100/80,P18,NA,2.35,NA,NA,1.35,For,NA,NA,1978
Unisys 1100/61 C1,P18,NA,0.617,NA,NA,0.267,For,NA,NA,1979
Unisys 1100/61 E1/H1,P18,8.6,1.27,NA,NA,0.430,For,NA,693,1979
Varian 620/L-100,P19,NA,0.0183,NA,NA,0.00036,For,NA,4,1975
Varian V-72 hwfp,P19,NA,0.357,NA,NA,0.200,For,NA,NA,1972
Varian V-73 hwfp,P19,NA,0.208,NA,NA,NA,For,NA,14,1972
Varian V-76,P19,NA,0.744,NA,NA,0.431,For,NA,17,1976
Varian V-76 cache,P19,NA,1.04,NA,NA,0.505,For,NA,NA,1976
