System,CPU-Precision,Clock-MHz,MWIPS,MFLOPS,MIPS-VAX,MWIPS-DP,Lang,Opt,Cost-$K,Year-intro
CDC Star 100,P4,NA,0.912,NA,NA,0.611,For,NA,NA,1974
CDC Cyber 203,P4 Scalar,NA,12.0,NA,NA,2.51,For,Op0,NA,1979
CDC Cyber 205,P4 Scalar,50,11.9,4.89,13.2,3.08,For,NA,6000,1981
CDC Cyber 205 2pipe,Vector,50,161,57.4,186,NA,For,NA,6000,1981
CDC Cyber 205 2pipe,90% Vector,50,71.5,27.7,80.6,NA,For,NA,6000,1981
CDC Cyber 930-11,P4,11.8,1.52,0.51,2.00,0.68,For,Op2,70,1987
CDC Cyber 960,P4,89,6.26,1.85,8.01,2.49,For,Op2,700,1988
CDC 4340,R3000,25,15.6,5.33,17.0,12.3,For,Op3,42,1990
CDC 4680,R6000,66,39.0,NA,NA,32.0,For,NA,150,1990
CDC ETA 10E,P4 Scalar,95.2,15.7,6.47,16.7,NA,For,NA,5500,1987
CDC ETA 10E,Vector,95.2,335,124,380,NA,For,NA,5500,1987
CDC ETA 10E,90% Vector,95.2,110,44.0,120,NA,For,NA,5500,1987
CDC ETA 10E 32 bit,Vector,95.2,378,218,379,NA,For,NA,5500,1987
CDC ETA 10E 32 bit,90% Vector,95.2,114,51.1,120,NA,For,NA,5500,1987
CDC System 17 sfp,P11,NA,0.017,NA,NA,0.0075,For,NA,NA,1966
CIL System 90 sfp,P11,NA,0.021,NA,NA,0.015,For,NA,NA,NA
Compaq 80486/DX4,P14,100,12.3,4.10,25.4,NA,C,Opt,NA,1994
Compaq Pentium Pro,P14,200,144,53.8,641,NA,C,Opt,NA,1997
CTL Mod 1,P5,NA,0.041,NA,NA,0.022,For,NA,12,1968
Convex C-1,Scalar,10,6.19,1.89,6.34,4.63,For,Op2,495,1984
Convex C-1,Vector,10,37.8,13.8,25.9,NA,For,Op2,495,1984
Convex C-1,90% Vector,10,25.0,8.47,19.8,NA,For,Op2,495,1984
Convex C120,Scalar,10,6.47,NA,NA,4.83,For,Op2,275,1984
Convex C120,Vector,10,39.5,NA,NA,NA,For,Op2,275,1984
Convex C210/220,Scalar,25,17.0,4.59,16.7,12.5,For,Op2,NA,1987
Convex C210 1 cpu,Vector,25,93.6,24.7,80.4,NA,For,Op2,635,1987
Convex C210 1 cpu,90% Vector,25,64.5,17.2,58.2,NA,For,Op2,635,1987
Convex C220 2 cpu,Vector,25,162,44.1,141,NA,For,Op3,870,1987
Convex C220 2 cpu,90% Vector,25,87.4,23.7,80.8,NA,For,Op3,870,1987
Convex C220 2 cpu,Vector,25,180,54.7,143,NA,For,IL,870,1987
Concurrent 6/16 swfp,P1,NA,0.0029,NA,NA,0.0006,For,NA,NA,NA
